"","words","n"
"1","dan",22
"2","ini",22
"3","tropicana",18
"4","banget",15
"5","episode",15
"6","sunyi",15
"7","di",13
"8","keren",13
"9","teman",13
"10","yg",13
"11","bikin",12
"12","dunia",12
"13","slim",12
"14","tuli",12
"15","untuk",12
"16","durasinya",11
"17","menit",10
"18","nya",10
"19","series",10
"20","u2764",10
"21","1",9
"22","ada",9
"23","dengan",9
"24","like",9
"25","web",9
"26","yang",9
"27","2",8
"28","aja",8
"29","ufe0f",8
"30","baper",7
"31","disabilitas",7
"32","karena",7
"33","setiap",7
"34","tapi",7
"35","ya",7
"36","aku",6
"37","and",6
"38","belajar",6
"39","buat",6
"40","ceritasunyi",6
"41","dapat",6
"42","dari",6
"43","kita",6
"44","lagi",6
"45","lebih",6
"46","menjadi",6
"47","rekan",6
"48","rizky",6
"49","sebagai",6
"50","suka",6
"51","terus",6
"52","tropicanaslim",6
"53","aktor",5
"54","bagus",5
"55","bahasa",5
"56","coffee",5
"57","ga",5
"58","hari",5
"59","ingin",5
"60","isyarat",5
"61","itu",5
"62","juga",5
"63","kenapa",5
"64","mau",5
"65","pasti",5
"66","salut",5
"67","satu",5
"68","sore",5
"69","tiap",5
"70","u2665",5
