,id,alamat,lat,long,latlon
1,1,Nasi Jamblang Ibu Nur Cirebon,-6.7144257,108.5549963,101.8405706
2,2,Jejamuran Resto,-7.705414,110.361254,102.65584
3,3,HeHa Sky View,-7.8497542,110.4783708,102.6286166
4,4,Sate Klathak Pak Pong,-7.8712464,110.3874707,102.5162243
5,5,Pantai Kukup,-8.1309675,110.5558448,102.4248773
6,6,Ayam Goreng Tojoyo Jalan Mayjend Sutoyo,-7.8146913,110.3662713,102.55158
7,7,Museum Ullen Sentalu,-7.5978656,110.4233959,102.8255303
8,8,Taman Wisata Kaliurang,-7.5988019,110.4263604,102.8275585
9,9,Keraton Jogjakarta,-7.8052845,110.3642031,102.5589186
10,10,Taman Pintar Jogjakarta,-7.800686,110.3677152,102.5670292
11,11,Jalan Malioboro,-7.7926306,110.3658442,102.5732136
12,12,Pasar Beringharjo,-7.7987265,110.3653401,102.5666136
13,13,Bakmi Mbah Gito,-7.813363,110.3971575,102.5837945
14,14,Royal Ambarukmo Hotel,-7.7827826,110.4027951,102.6200125
15,15,The Alana Yogyakarta Hotel & Convention Center,-7.7394142,110.3771338,102.6377196
16,16,Bluebell Residence Sumarekon Bekasi,-6.2234278,106.9879065,100.7644787
