"","Distance.-6.7144257+108.5549963","Distance.-7.705414+110.361254","Distance.-7.8497542+110.4783708","Distance.-7.8712464+110.3874707","Distance.-8.1309675+110.5558448","Distance.-7.8146913+110.3662713","Distance.-7.5978656+110.4233959","Distance.-7.5988019+110.4263604","Distance.-7.8052845+110.3642031","Distance.-7.800686+110.3677152","Distance.-7.7926306+110.3658442","Distance.-7.7987265+110.3653401","Distance.-7.813363+110.3971575","Distance.-7.7827826+110.4027951","Distance.-7.7394142+110.3771338","Distance.-6.2234278+106.9879065"
"1",0,339439,353356,360953,397220,357158,353547,352790,356637,356319,355166,355846,353973,351252,357770,196220
"2",333760,0,30914,28549,75381,13934,17142,17139,12445,12665,11333,12012,16287,13838,5724,524295
"3",350014,33427,0,15629,44314,17416,37262,36506,18616,18299,19758,20437,13920,17556,25570,540548
"4",355984,26713,15629,0,49496,8727,35012,41758,10420,10387,11435,12115,7326,11653,17586,547012
"5",393905,73411,44622,49362,0,55426,81815,81215,57118,57264,58400,59080,57511,61143,72812,584440
"6",353807,17259,17402,8734,55566,0,27592,26991,2232,2378,3515,4194,3485,7547,16660,544836
"7",350792,17142,38280,37874,81565,28062,0,642,28101,28321,25461,26140,30894,26066,18992,541326
"8",350150,17139,37680,37274,80964,28059,642,0,28098,28317,25458,26137,30294,25466,18988,540685
"9",353178,12733,19099,10431,57263,2237,29787,26224,0,1220,2747,3427,5182,6470,10536,544207
"10",352568,12330,17949,10248,57080,2054,25891,25291,1282,0,1814,2493,4463,5537,8852,543102
"11",352173,11366,18741,11066,58142,3116,25181,24581,1620,1550,0,680,5478,5142,7522,542707
"12",352804,11814,18441,10740,57573,2547,27871,25527,940,871,2050,0,4955,5773,9475,543339
"13",351005,16278,13920,7330,56011,3499,32338,31737,5108,4790,5838,6518,0,5346,11988,541651
"14",347185,13446,16342,12724,59627,8224,24591,23991,7452,6803,5622,6302,5744,0,9075,537722
"18",354715,7264,26376,17448,72784,9507,18833,18830,8735,10074,6906,7585,11860,9300,0,545249
"19",195136,527725,541643,549239,585507,545444,541833,541076,544923,544606,543452,544132,542259,539539,546056,0
