"","no","tgl","waktu","simpang","tidak.menggunakan.helm","berhenti.di.zebra.cross","berhenti.di.rhk","berhenti.melebihi.stopline","merokok","kelebihan.muatan","lainnya","total.pelanggaran","roda.2","roda.4.lebih","lainnya.1","total.kendaraan"
"1",1,"12/01/18","Pagi","Gedebage",0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"12/01/18","Pagi","Taman Sari",0,0,0,0,5,0,0,5,3,2,0,5
"3",3,"12/01/18","Pagi","Aceh",0,0,0,0,1,0,0,1,1,0,0,1
"4",4,"12/01/18","Sore","Cibaduyut",5,0,5,3,19,1,0,33,29,1,0,30
"5",5,"12/01/18","Sore","Supratman",0,0,0,4,4,0,0,8,6,0,0,6
"6",6,"12/01/18","Sore","Simpang Lima",0,0,0,2,2,0,0,4,3,1,0,4
"7",7,"12/02/18","Pagi","Cipaganti 2",1,0,0,0,1,0,0,2,2,0,0,2
"8",8,"12/02/18","Pagi","Telkom",0,0,0,26,11,0,0,37,25,12,0,37
"9",9,"12/02/18","Pagi","Banda",1,0,0,6,5,0,0,12,9,2,0,11
"10",10,"12/02/18","Sore","Kopo",0,0,2,53,10,0,0,65,65,0,0,65
"11",11,"12/02/18","Sore","Gardujati",2,0,0,25,23,0,0,50,47,1,0,48
"12",12,"12/02/18","Sore","Cipaganti 1",0,0,0,0,0,0,0,0,0,0,0,0
"13",13,"12/03/18","Pagi","M Toha",0,0,0,5,13,0,0,18,14,0,0,14
"14",14,"12/03/18","Pagi","Tamblong",0,0,0,2,1,0,0,3,2,0,0,2
"15",15,"12/03/18","Pagi","Cimuncang",4,2,0,9,11,0,0,26,16,2,0,18
"16",16,"12/03/18","Sore","Pasteur",0,0,0,0,1,0,0,1,1,0,0,1
"17",17,"12/03/18","Sore","A Yani Laswi",0,0,0,0,2,0,0,2,2,0,0,2
"18",18,"12/03/18","Sore","Trunojoyo",0,0,0,2,4,0,0,6,5,1,0,6
"19",19,"12/04/18","Pagi","Buah Batu",1,0,0,0,78,1,0,80,72,6,0,78
"20",20,"12/04/18","Pagi","Gudang utara",2,0,0,4,6,0,0,12,7,2,0,9
"21",21,"12/04/18","Pagi","Merdeka Aceh",0,0,0,0,3,0,0,3,3,0,0,3
"22",22,"12/04/18","Sore","Batununggal",1,0,0,0,0,0,0,1,1,0,0,1
"23",23,"12/04/18","Sore","Merdeka juanda",0,0,0,5,8,0,0,13,10,3,0,13
"24",24,"12/04/18","Sore","Cikutra",18,0,0,21,6,0,4,49,45,2,0,47
"25",25,"12/05/18","Pagi","Pasir Koja",2,0,5,23,35,0,0,65,55,7,0,62
"26",26,"12/05/18","Pagi","Pahlawan",1,0,0,15,18,0,0,34,27,6,0,33
"27",27,"12/05/18","Pagi","Jamika",0,0,0,2,35,0,0,37,32,5,0,37
"28",28,"12/05/18","Sore","Ujung Berung",0,0,0,0,0,0,0,0,0,0,0,0
"29",29,"12/05/18","Sore","Anggrek",2,0,0,20,30,0,0,52,48,4,0,52
"30",30,"12/05/18","Sore","Otista",0,0,0,3,22,0,0,25,19,6,0,25
"31",31,"12/06/18","Pagi","Cibeureum",0,0,0,0,0,0,0,0,0,0,0,0
"32",32,"12/06/18","Pagi","Lombok",1,0,0,19,3,0,0,23,20,3,0,23
"33",33,"12/06/18","Pagi","Paskal Baru",0,0,0,0,0,0,0,0,0,0,0,0
"34",34,"12/06/18","Sore","Sulanjana",0,0,0,0,0,0,0,0,0,0,0,0
"35",35,"12/06/18","Sore","Paskal IP",0,0,0,0,0,0,0,0,0,0,0,0
"36",36,"12/06/18","Sore","Cihapit",4,0,0,5,14,0,0,23,21,0,0,21
"37",37,"12/07/18","Pagi","Samsat",0,6,0,0,0,0,0,6,6,0,0,6
"38",38,"12/07/18","Pagi","Cihampelas",0,0,0,4,7,0,0,11,9,2,0,11
"39",39,"12/07/18","Pagi","Padasuka",0,0,0,35,6,0,0,41,40,1,0,41
"40",40,"12/07/18","Sore","Cicaheum",0,13,0,6,19,0,0,38,16,22,0,38
"41",41,"12/07/18","Sore","Caringin",5,0,0,14,65,0,0,84,73,6,0,79
"42",42,"12/07/18","Sore","Cikapayang",0,2,0,1,7,0,0,10,6,4,0,10
"43",43,"12/08/18","Pagi","Gedebage",0,0,0,0,0,0,0,0,0,0,0,0
"44",44,"12/08/18","Pagi","Tamansari",2,0,0,3,18,0,0,23,21,2,0,23
"45",45,"12/08/18","Pagi","Aceh",0,0,0,1,4,0,0,5,4,1,0,5
"46",46,"12/08/18","Sore","Cibaduyut",1,3,14,12,10,0,0,40,37,3,0,40
"47",47,"12/08/18","Sore","Supratman",0,0,0,1,2,0,0,3,2,1,0,3
"48",48,"12/08/18","Sore","S Lima",0,0,0,0,2,0,0,2,2,0,0,2
"49",49,"12/09/18","Pagi","Cipaganti 2",1,0,0,0,2,0,0,3,3,0,0,3
"50",50,"12/09/18","Pagi","Telkom",0,0,0,27,3,0,0,30,28,2,0,30
"51",51,"12/09/18","Pagi","Banda",0,0,0,1,7,0,0,8,5,3,0,8
"52",52,"12/09/18","Sore","Cipaganti ",0,0,27,13,18,0,0,58,57,1,0,58
"53",53,"12/09/18","Sore","Gardujati",1,0,0,28,11,0,0,40,39,0,0,39
"54",54,"12/09/18","Sore","Kopo",0,0,0,0,0,0,0,0,0,0,0,0
"55",55,"12/10/18","Pagi","M Toha",0,0,0,4,19,0,0,23,7,1,0,8
"56",56,"12/10/18","Pagi","Tamblong",0,0,0,0,0,0,0,0,0,0,0,0
"57",57,"12/10/18","Pagi","Cimuncang",1,0,0,6,26,0,0,33,29,1,0,30
"58",58,"12/10/18","Sore","Pasteur",0,0,0,16,3,0,0,19,18,1,0,19
"59",59,"12/10/18","Sore","A Yani Laswi",0,1,0,1,5,0,0,7,7,0,0,7
"60",60,"12/10/18","Sore","Trunojoyo",0,1,0,6,19,0,0,26,16,10,0,26
"61",61,"12/11/18","Pagi","Buahbatu",0,0,0,0,2,0,0,2,1,0,0,1
"62",62,"12/11/18","Pagi","Gudang Utara",0,0,0,4,6,0,0,10,8,1,0,9
"63",63,"12/11/18","Pagi","Merdeka Aceh",0,0,0,1,8,0,0,9,8,0,0,8
"64",64,"12/11/18","Sore","Batununggal",0,0,0,0,0,0,0,0,0,0,0,0
"65",65,"12/11/18","Sore","Merdeka Juanda",0,0,0,4,3,0,0,7,4,3,0,7
"66",66,"12/11/18","Sore","Cikutra",25,4,0,38,10,1,0,78,64,5,0,69
"67",67,"12/12/18","Pagi","Pasir Koja",4,52,2,14,20,0,0,92,78,9,0,87
"68",68,"12/12/18","Pagi","Pahlawan",1,0,2,6,10,0,0,19,15,4,0,19
"69",69,"12/12/18","Pagi","Jamika",0,0,8,3,21,0,0,32,30,2,0,32
"70",70,"12/12/18","Sore","Ujung Berung",0,0,0,0,0,0,0,0,0,0,0,0
"71",71,"12/12/18","Sore","Anggrek",0,0,0,3,15,0,0,18,18,0,0,18
"72",72,"12/12/18","Sore","Otista",0,0,0,5,4,0,0,9,6,3,0,9
"73",73,"13/12/2018","Pagi","Cibeureum",0,0,0,0,0,0,0,0,0,0,0,0
"74",74,"13/12/2018","Pagi","Lombok",0,0,0,1,4,0,0,5,5,0,0,5
"75",75,"13/12/2018","Pagi","Paskal Baru",0,0,0,0,0,0,0,0,0,0,0,0
"76",76,"13/12/2018","Sore","Sulanjana",0,0,0,6,3,0,0,9,8,1,0,9
"77",77,"13/12/2018","Sore","Paskal IP Cam",0,0,0,2,10,0,0,12,11,1,0,12
"78",78,"13/12/2018","Sore","Cihapit",0,0,0,0,1,0,0,1,0,1,0,1
"79",79,"14/12/2018","Pagi","Samsat ",0,0,0,0,0,0,0,0,0,0,0,0
"80",80,"14/12/2018","Pagi","Cihampelas",0,0,0,2,6,0,0,8,7,1,0,8
"81",81,"14/12/2018","Pagi","Padasuka",0,0,0,0,0,0,0,0,0,0,0,0
"82",82,"14/12/2018","Sore","Cicaheum",0,0,0,35,0,0,0,35,18,17,0,35
"83",83,"14/12/2018","Sore","Caringin",2,0,0,15,80,8,0,105,103,0,0,103
"84",84,"14/12/2018","Sore","Cikapayang PTZ",0,0,0,2,0,0,0,2,0,2,0,2
"85",85,"15/12/2018","Pagi","Gedebage",0,0,0,0,0,0,0,0,0,0,0,0
"86",86,"15/12/2018","Pagi","Tamansari",0,0,0,1,12,0,0,13,13,0,0,13
"87",87,"15/12/2018","Pagi","Aceh",0,0,0,3,7,0,0,10,10,0,0,10
"88",88,"15/12/2018","Sore","Cibaduyut",0,0,0,0,0,0,0,0,0,0,0,0
"89",89,"15/12/2018","Sore","Supratman ",0,0,0,0,0,0,0,0,0,0,0,0
"90",90,"15/12/2018","Sore","Simpang Lima",0,0,0,0,0,0,0,0,0,0,0,0
"91",91,"16/12/2018","Pagi","Cipaganti",0,0,0,0,3,0,0,3,3,0,0,3
"92",92,"16/12/2018","Pagi","Telkom",0,0,0,4,4,0,0,8,5,3,0,8
"93",93,"16/12/2018","Pagi","Banda",3,0,0,1,1,0,0,5,4,1,0,5
"94",94,"16/12/2018","Sore","Kopo",3,6,0,18,25,0,0,52,43,6,0,49
"95",95,"16/12/2018","Sore","Gardujati",2,0,0,21,10,1,0,34,27,6,0,33
"96",96,"16/12/2018","Sore","Cipaganti",0,0,0,1,0,0,0,1,0,1,0,1
"97",97,"17/12/2018","Pagi","M Toha",0,0,64,15,20,0,0,99,99,0,0,99
"98",98,"17/12/2018","Pagi","Tamblong",0,0,0,2,3,0,0,5,4,0,0,4
"99",99,"17/12/2018","Pagi","Cimuncang",0,0,12,8,12,0,0,32,16,4,0,20
"100",100,"17/12/2018","Sore","Pasteur",0,0,0,10,13,0,0,23,22,1,0,23
"101",101,"17/12/2018","Sore","A Yani Laswi",0,0,0,6,12,0,0,18,13,5,0,18
"102",102,"17/12/2018","Sore","Trunojoyo",0,0,0,6,4,0,0,10,7,3,0,10
"103",103,"18/12/2018","Pagi","Buah Batu",0,0,12,0,0,0,0,12,12,0,0,12
"104",104,"18/12/2018","Pagi","Gudang Utara",0,0,0,3,2,0,0,5,4,1,0,5
"105",105,"18/12/2018","Pagi","Merdeka Aceh",0,0,0,0,2,0,0,2,2,0,0,2
"106",106,"18/12/2018","Sore","Batununggal",0,0,0,0,0,0,0,0,0,0,0,0
"107",107,"18/12/2018","Sore","Merdeka Juanda",0,0,0,1,26,0,0,27,24,2,0,26
"108",108,"18/12/2018","Sore","Cikutra",0,0,0,0,0,0,0,0,0,0,0,0
"109",109,"19/12/2018","Pagi","Pasir Koja",0,0,0,0,0,0,0,0,0,0,0,0
"110",110,"19/12/2018","Pagi","Pahlawan ",0,0,0,0,0,0,0,0,0,0,0,0
"111",111,"19/12/2018","Pagi","Jamika",0,0,0,0,0,0,0,0,0,0,0,0
"112",112,"19/12/2018","Sore","Ujung Berung ",0,0,0,0,0,0,0,0,0,0,0,0
"113",113,"19/12/2018","Sore","Anggrek",3,0,0,16,23,0,0,42,36,2,0,38
"114",114,"19/12/2018","Sore","Otista Pasar Baru ",0,0,0,5,15,0,0,20,8,11,0,19
"115",115,"20/12/2018","Pagi","Cibeureum",0,0,0,0,0,0,0,0,0,0,0,0
"116",116,"20/12/2018","Pagi","Lombok",0,0,0,27,20,0,0,47,41,7,0,48
"117",117,"20/12/2018","Pagi","Paskal Baru",0,0,0,0,0,0,0,0,0,0,0,0
"118",118,"20/12/2018","Sore","Sulanjana",0,0,12,7,10,0,0,29,26,3,0,29
"119",119,"20/12/2018","Sore","Paskal IP Cam",0,0,9,1,0,0,0,10,9,1,0,10
"120",120,"20/12/2018","Sore","Cihapit",0,0,0,4,2,0,0,6,5,1,0,6
"121",121,"21/12/2018","Pagi","Samsat",0,0,0,0,0,0,0,0,0,0,0,0
"122",122,"21/12/2018","Pagi","Cihampelas",1,0,0,1,8,0,0,10,8,2,0,10
"123",123,"21/12/2018","Pagi","Padasuka",15,0,0,7,10,0,0,32,32,0,0,32
"124",124,"21/12/2018","Sore","Cicaheum",0,0,0,12,9,0,0,21,9,12,0,21
"125",125,"21/12/2018","Sore","Caringin",7,0,0,5,91,0,0,103,96,0,0,96
"126",126,"21/12/2018","Sore","Cikapayang",0,0,0,0,0,0,0,0,0,0,0,0
"127",127,"22/12/2018","Pagi","Gedebage",0,0,0,0,0,0,0,0,0,0,0,0
"128",128,"22/12/2018","Pagi","Tamansari",0,0,0,0,11,0,0,11,11,0,0,11
"129",129,"22/12/2018","Pagi","Aceh",0,0,0,4,0,0,0,4,4,0,0,4
"130",130,"22/12/2018","Sore","Cibaduyut",0,0,0,0,0,0,0,0,0,0,0,0
"131",131,"22/12/2018","Sore","Simpang Lima",0,0,0,2,7,0,0,9,7,0,0,7
"132",132,"22/12/2018","Sore","Supratman",0,0,0,2,6,0,0,8,5,3,0,8
"133",133,"23/12/2018","Pagi","Cipaganti 2",1,0,0,2,9,0,0,12,10,0,0,10
"134",134,"23/12/2018","Pagi","Telkom",0,6,0,20,5,0,0,31,13,16,0,29
"135",135,"23/12/2018","Pagi","Banda",0,0,0,1,2,0,0,3,1,1,0,2
"136",136,"23/12/2018","Sore","Kopo",0,0,0,19,32,0,0,51,45,6,0,51
"137",137,"23/12/2018","Sore","Gardujati",0,0,0,31,4,0,0,35,34,1,0,35
"138",138,"23/12/2018","Sore","Cipaganti 1",0,0,0,4,4,0,0,8,3,4,0,7
"139",139,"24/12/2018","Pagi","M Toha",0,0,0,0,0,0,0,0,0,0,0,0
"140",140,"24/12/2018","Pagi","Tamblong",0,0,0,0,0,0,0,0,0,0,0,0
"141",141,"24/12/2018","Pagi","Cimuncang",0,0,0,0,0,0,0,0,0,0,0,0
"142",142,"24/12/2018","Sore","Pasteur",0,0,0,0,5,0,0,5,5,0,0,5
"143",143,"24/12/2018","Sore","A Yani Laswi",0,0,0,0,2,0,0,2,2,0,0,2
"144",144,"24/12/2018","Sore","Trunojoyo",1,0,0,6,17,0,0,24,21,2,0,23
"145",145,"25/12/2018","Pagi","Buah Batu",0,0,0,0,0,0,0,0,0,0,0,0
"146",146,"25/12/2018","Pagi","Gudang Utara",0,0,0,3,16,0,0,19,18,2,0,20
"147",147,"25/12/2018","Pagi","Merdeka Aceh",0,0,0,0,0,0,0,0,0,0,0,0
"148",148,"25/12/2018","Sore","Batununggal",0,0,0,1,2,0,3,6,5,1,0,6
"149",149,"25/12/2018","Sore","Merdeka Juanda",0,0,0,1,6,1,0,8,6,2,0,8
"150",150,"25/12/2018","Sore","Cikutra",1,0,0,3,6,0,2,12,11,0,0,11
"151",151,"26/12/2018","Pagi","Jamika ",0,0,0,0,1,0,0,1,1,0,0,1
"152",152,"26/12/2018","Pagi","Pahlawan",0,0,0,13,5,0,0,18,17,1,0,18
"153",153,"26/12/2018","Pagi","Pasir Koja",0,0,0,0,6,0,0,6,6,0,0,6
"154",154,"26/12/2018","Sore","Ujung Berung",0,0,0,0,0,0,0,0,0,0,0,0
"155",155,"26/12/2018","Sore","Anggrek",0,0,0,0,0,0,0,0,0,0,0,0
"156",156,"26/12/2018","Sore","Otista",0,0,0,35,14,0,0,49,48,1,0,49
"157",157,"27/12/2018","Pagi","Cibeureum",0,0,0,5,20,0,0,25,23,2,0,25
"158",158,"27/12/2018","Pagi","Lombok",1,0,0,6,2,0,0,9,9,0,0,9
"159",159,"27/12/2018","Pagi","Paskal",0,0,0,1,37,0,0,38,38,0,0,38
"160",160,"27/12/2018","Sore","Sulanjana",0,0,0,0,0,0,0,0,0,0,0,0
"161",161,"27/12/2018","Sore","Paskal IP",0,0,0,10,11,0,0,21,20,1,0,21
"162",162,"27/12/2018","Sore","Cihapit",0,0,0,0,0,0,0,0,0,0,0,0
"163",163,"28/12/2018","Pagi","Samsat",0,0,0,0,0,0,0,0,0,0,0,0
"164",164,"28/12/2018","Pagi","Cihampelas",0,0,0,0,5,0,0,5,5,0,0,5
"165",165,"28/12/2018","Pagi","Padasuka",0,0,0,12,4,0,0,16,11,5,0,16
"166",166,"28/12/2018","Sore","Cicaheum",0,6,0,1,9,0,0,16,7,8,0,15
"167",167,"28/12/2018","Sore","Caringin",8,0,0,23,48,0,0,79,68,2,0,70
"168",168,"28/12/2018","Sore","Cikapayang",0,1,0,2,4,0,0,7,1,4,0,5
